Марка,Модель,Мощность,Топливо,Цена,Год производства,Пробег,Коробка,Кузов,Привод,Цвет
Chevrolet,Niva I Рестайлинг,80,Бензин,395000,2017,122000,механика,внедорожник 5 дв.,полный,серебристый
Chevrolet,Aveo I Рестайлинг,101,Бензин,205000,2008,131390,механика,седан,передний,синий
Chevrolet,Lacetti,94,Бензин,245000,2012,127000,механика,седан,передний,серебристый
Chevrolet,Rezzo,90,Бензин,235000,2007,150000,механика,компактвэн,передний,чёрный
Chevrolet,Captiva I,136,Бензин,390000,2007,141000,автомат,внедорожник 5 дв.,полный,чёрный
Chevrolet,Aveo II,115,Бензин,349750,2014,124812,механика,седан,передний,белый
Chevrolet,Lacetti,109,Бензин,170000,2005,186800,механика,седан,передний,красный
Chevrolet,Epica I Рестайлинг,143,Бензин,347000,2011,120000,автомат,седан,передний,чёрный
Chevrolet,Cruze I Рестайлинг,141,Бензин,600000,2013,176000,автомат,универсал 5 дв.,передний,белый
Chevrolet,Cruze I Рестайлинг,141,Бензин,400000,2013,178166,автомат,седан,передний,синий
Chevrolet,Aveo I,94,Бензин,199000,2007,154601,механика,седан,передний,красный
Chevrolet,Lacetti,94,Бензин,115000,2006,350000,механика,седан,передний,красный
Chevrolet,Lanos I,86,Бензин,80000,2008,126300,механика,седан,передний,красный
Chevrolet,Tahoe  III 6AT,324,Бензин,1350,2013,96000,автомат,внедорожник 5 дв.,полный,белый
Chevrolet,Aveo II,115,Бензин,410000,2013,132000,механика,седан,передний,синий
Chevrolet,Cruze I,113,Бензин,315000,2012,222815,механика,седан,передний,серебристый
Chevrolet,Spark III,67,Бензин,248000,2011,116840,механика,хэтчбек 5 дв.,передний,серебристый
Chevrolet,Cruze I Рестайлинг,109,Бензин,449000,2014,108000,автомат,седан,передний,коричневый
Chevrolet,Niva I,80,Бензин,95000,2005,162000,механика,внедорожник 5 дв.,полный,золотистый
Chevrolet,Cruze I,109,Бензин,380000,2012,136583,механика,седан,передний,серый
Chevrolet,Epica I Рестайлинг,143,Бензин,330000,2010,180000,автомат,седан,передний,чёрный
Chevrolet,Lacetti,109,Бензин,279000,2010,139000,автомат,хэтчбек 5 дв.,передний,синий
Chevrolet,Cruze I Рестайлинг,141,Бензин,415000,2012,255000,автомат,седан,передний,серый
Chevrolet,Cruze I,109,Бензин,299000,2010,205000,механика,седан,передний,красный
Chevrolet,Niva I,80,Бензин,130000,2005,130000,механика,внедорожник 5 дв.,полный,серебристый
Chevrolet,Aveo I,94,Бензин,159000,2006,201655,автомат,хэтчбек 5 дв.,передний,чёрный
Chevrolet,Captiva I,136,Бензин,325000,2008,257278,механика,внедорожник 5 дв.,полный,чёрный
Chevrolet,Captiva I Рестайлинг 2,184,Дизель,855000,2014,81000,автомат,внедорожник 5 дв.,полный,чёрный
Chevrolet,Cruze I,141,Бензин,460000,2011,182000,механика,седан,передний,белый
Chevrolet,Aveo I Рестайлинг,84,Бензин,185000,2009,165000,механика,седан,передний,красный
Chevrolet,Cruze I Рестайлинг,109,Бензин,260000,2014,250000,механика,седан,передний,белый
Chevrolet,Niva I Рестайлинг,80,Бензин,239700,2012,120000,механика,внедорожник 5 дв.,полный,чёрный
Chevrolet,Cruze I,141,Бензин,545000,2012,31000,механика,седан,передний,белый
Chevrolet,Aveo II,115,Бензин,335000,2014,98000,автомат,седан,передний,серебристый
Chevrolet,Aveo I Рестайлинг,101,Бензин,265000,2009,126000,автомат,седан,передний,серый
Chevrolet,Lacetti,94,Бензин,190000,2008,268000,механика,седан,передний,серебристый
Chevrolet,Captiva I,150,Дизель,484888,2007,140109,автомат,внедорожник 5 дв.,полный,белый
Chevrolet,Captiva I,136,Бензин,447000,2007,147000,автомат,внедорожник 5 дв.,полный,синий
Chevrolet,Camaro I,330,Бензин,4000,1969,20000,механика,купе,задний,оранжевый
Chevrolet,Aveo II,115,Бензин,399000,2013,99000,автомат,седан,передний,чёрный
Chevrolet,Cruze I Рестайлинг,141,Бензин,560000,2014,93000,автомат,седан,передний,белый
Chevrolet,Lacetti,109,Бензин,239000,2008,140000,механика,седан,передний,серебристый
Chevrolet,Cruze I Рестайлинг,141,Бензин,450000,2013,91000,автомат,седан,передний,чёрный
Chevrolet,Cruze I,141,Бензин,375000,2011,47550,механика,седан,передний,белый
Chevrolet,TrailBlazer I,273,Бензин,299000,2004,144000,автомат,внедорожник 5 дв.,полный,серый
Chevrolet,Captiva I,136,Бензин,419500,2007,180185,механика,внедорожник 5 дв.,полный,серый
Chevrolet,Aveo II,115,Бензин,299000,2012,130860,механика,седан,передний,голубой
Chevrolet,Aveo II,115,Бензин,445000,2015,70000,автомат,хэтчбек 5 дв.,передний,белый
Chevrolet,Aveo I Рестайлинг,72,Бензин,170000,2007,132587,механика,седан,передний,красный
Chevrolet,Niva I Рестайлинг,80,Бензин,469000,2017,47800,механика,внедорожник 5 дв.,полный,чёрный
Chevrolet,Aveo II,115,Бензин,415000,2014,132890,автомат,седан,передний,чёрный
Chevrolet,Cruze I Рестайлинг,109,Бензин,285000,2013,141931,механика,седан,передний,коричневый
Chevrolet,Niva I Рестайлинг,80,Бензин,240000,2011,67000,механика,внедорожник 5 дв.,полный,серебристый
Chevrolet,Niva I Рестайлинг,80,Бензин,235000,2011,95000,механика,внедорожник 5 дв.,полный,серый
Chevrolet,Cruze I,141,Бензин,350000,2012,140711,автомат,хэтчбек 5 дв.,передний,серебристый
Chevrolet,Aveo I Рестайлинг,101,Бензин,210000,2008,95788,автомат,седан,передний,жёлтый
Chevrolet,Aveo I Рестайлинг,84,Бензин,259000,2011,117000,механика,хэтчбек 5 дв.,передний,красный
Chevrolet,Tracker II,167,Бензин,299000,2003,169495,автомат,внедорожник открытый,полный,красный
Chevrolet,Rezzo,90,Бензин,199700,2008,179000,механика,компактвэн,передний,голубой
Chevrolet,Lacetti,109,Бензин,179999,2006,163000,механика,хэтчбек 5 дв.,передний,чёрный
Chevrolet,Lacetti,109,Бензин,298000,2012,175260,автомат,седан,передний,синий
Chevrolet,Lacetti,94,Бензин,150000,2007,330000,механика,седан,передний,серебристый
Chevrolet,Cruze I,109,Бензин,220000,2012,300000,механика,седан,передний,белый
Chevrolet,Lacetti,109,Бензин,310000,2010,78200,механика,хэтчбек 5 дв.,передний,серебристый
Chevrolet,Lacetti,109,Бензин,169000,2008,160000,механика,хэтчбек 5 дв.,передний,красный
Chevrolet,Tracker II,129,Бензин,165000,2001,220000,механика,внедорожник 5 дв.,полный,чёрный
Chevrolet,Lacetti,94,Бензин,170000,2007,198900,механика,хэтчбек 5 дв.,передний,синий
Chevrolet,Tahoe III,324,Бензин,699999,2008,199666,автомат,внедорожник 5 дв.,полный,чёрный
Chevrolet,Cruze I Рестайлинг,109,Бензин,340000,2014,195000,механика,седан,передний,белый
